Ivo Cassol;PP;RO;Ação civil pública nº 0003538-93.2007.4.01.4101 - TRF
Ivo Cassol;PP;RO;Ação civil pública nº 0001956-58.2007.4.01.4101 - TRF
Ivo Cassol;PP;RO;Inquérito nº 4411/2017 - STF
Valdir Raupp;PMDB;RO;Ação civil pública nº 0116671-57.1999.8.22.0001 - TJ
Valdir Raupp;PMDB;RO;Ação penal nº 577/2011 - STF
Valdir Raupp;PMDB;RO;Inquérito nº 4433/2017 - STF
Romero Jucá;PMDB;RR;Inquérito nº 3989/2015 - STF
Romero Jucá;PMDB;RR;Inquérito nº 2116/2004 - STF
Romero Jucá;PMDB;RR;Inquérito nº 2963/2010 - STF
Romero Jucá;PMDB;RR;Inquérito nº 3297/2011 - STF
Romero Jucá;PMDB;RR;Apelação nº 0020239-50.1997.4.01.3400 - TRF
Romero Jucá;PMDB;RR;Inquérito nº 4382/2017 - STF
Romero Jucá;PMDB;RR;Inquérito nº 4413/2017 - STJ
Romero Jucá;PMDB;RR;Inquérito nº 4426/2017 - STJ
Romero Jucá;PMDB;RR;Inquérito nº 4437/2017 - STJ
Romero Jucá;PMDB;RR;Inquérito nº 4460/2017 - STJ
Telmário Mota;PTB;RR;Inquérito nº 4296/2016 - STF
Dalirio Beber;PSDB;SC;Inquérito nº 4408/2017 - STF
Dário Berger;PMDB;SC;Ação penal nº 938/2015 - STF
Dário Berger;PMDB;SC;Inquérito nº 2853/2009 - STF
Dário Berger;PMDB;SC;Inquérito nº 3927/2014 - STF
Dário Berger;PMDB;SC;Ação civil pública nº 5006967-09.2010.404.7200 - TRF
Dário Berger;PMDB;SC;Ação civil pública nº 0033588-03.2011.8.24.0023 - TJ
Dário Berger;PMDB;SC;Ação penal nº 0900140-09.2014.8.24.0023 - TJ
Dário Berger;PMDB;SC;Ação civil pública nº 0047334-35.2011.8.24.0023 - TJ
Dário Berger;PMDB;SC;Ação civil pública nº 0016664-14.2011.8.24.0023 - TJ
Dário Berger;PMDB;SC;Ação civil pública nº 0001594-88.2010.8.24.0023 - TJ
Dário Berger;PMDB;SC;Ação civil pública nº 0018242-46.2010.8.24.0023 - TJ
