DANIEL ALMEIDA;PC do B;BA;Inquérito nº 4390/2017 - STF
JOAO CARLOS BACELAR;PTN;BA;Inquérito nº 3934/2014 - STF
JORGE SOLLA;PT;BA;Ação civil pública nº 0523804-63.2016.8.05.0001 - TJ
MOEMA GRAMACHO;PT;81.414;BA;Inquérito nº 4176/2015 - STF
MOEMA GRAMACHO;PT;81.414;BA;Inquérito nº 4252/2016 - STF
MOEMA GRAMACHO;PT;81.414;BA;Ação civil pública nº 0032431-91.2015.4.01.3300 - TRF
PAULO MAGALHÃES;PSD;BA;Ação penal nº 896/2014 - STF
PAULO MAGALHÃES;PSD;BA;Ação civil pública nº 0010939-63.2003.4.01.3300 - TRF
ROBERTO BRITTO;PP;BA;Inquérito nº 3989/2015 - STF
ROBERTO BRITTO;PP;BA;Inquérito nº 3980/2015 - STF
ROBERTO BRITTO;PP;BA;Processos nº 0001103-66.2008.4.01.3308 - TRF
RONALDO CARLETTO;PP;BA;Inquérito nº 3934/2014 - STF
RONALDO CARLETTO;PP;BA;Inquérito nº 4063/2015 - STF
TIA ERON;PRB;BA;Ação civil pública nº 0300100-44.2012.8.05.0001 - TJ
VALMIR ASSUNÇÃO;PT;BA;Inquérito nº 3945/2015 - STF
DANILO FORTE;PMDB;CE;Inquérito nº 3317/2011 - STF
DANILO FORTE;PMDB;CE;Ação civil pública nº 0017345-18.2008.4.01.3400 - TRF
DANILO FORTE;PMDB;CE;Ação civil pública nº 0029596-97.2010.4.01.3400 - TRF
DANILO FORTE;PMDB;CE;Ação civil pública nº 0014606-67.2011.4.01.3400- - TRF
GENECIAS NORONHA;SD;CE;Apelação cível nº 0000115-97.2007.8.06.0142 - TJ
GORETE PEREIRA;PR;CE;Inquérito nº 3387/2011 - STF
GORETE PEREIRA;PR;CE;Ação civil pública nº 0010348-02.2010.4.05.8100 - TRF
LUIZIANNE LINS;PT;CE;Inquérito nº 4311/2016 - STF
LUIZIANNE LINS;PT;CE;Ação civil pública nº 0037573-13.2012.8.06.0001. - TJ
AUGUSTO CARVALHO;SD;DF;Ação civil de improbidade administrativa nº 0007806-46.2012.8.07.0018 - TJ
AUGUSTO CARVALHO;SD;DF;Processos nº 0002988-51.2012.8.07.0018 - TJ
AUGUSTO CARVALHO;SD;DF;Ação civil pública nº 0005382-31.2012.8.07.0018 - TJ
AUGUSTO CARVALHO;SD;DF;Ação civil pública nº 0004858-63.2014.8.07.0018 - TJ
AUGUSTO CARVALHO;SD;DF;Ação civil de improbidade administrativa nº 0007099-78.2012.8.07.0018 - TJ
AUGUSTO CARVALHO;SD;DF;Ação civil de improbidade administrativa nº 0048188-13.2014.8.07.0018 - TJ
LAERTE BESSA;PR;DF;Ação civil pública nº 0015956-14.2005.8.07.0001 - TJ
ROGÉRIO ROSSO;PSD;DF;Ação popular nº 0001705-56.2013.8.07.0018 - TJ
ROGÉRIO ROSSO;PSD;DF;Inquérito nº 4277/2016 - STF
RÔNEY NEMER;PMDB;DF;Ação penal nº 923/2015 - STF
RÔNEY NEMER;PMDB;DF;Inquérito nº 3962/2015 - STF
RÔNEY NEMER;PMDB;DF;Inquérito nº 4051/2015 - STF
RÔNEY NEMER;PMDB;DF;Inquérito nº 4080/2015 - STF
RÔNEY NEMER;PMDB;DF;Ação civil de improbidade administrativa nº 0001764-44.2013.8.07.0018 - TJ
RÔNEY NEMER;PMDB;DF;Ação civil de improbidade administrativa nº 0011854-14.2013.8.07.0018 - TJ
HELDER SALOMAO;PT;ES;Ação civil pública nº 0702727-73.2007.8.08.0024 - TJ
LELO COIMBRA;PMDB;ES;Inquérito nº 3071/2011 - STF
SERGIO VIDIGAL;PDT;ES;Ação civil pública nº 0050088-20.2013.8.08.0024 - TJ
ALEXANDRE BALDY;PSDB;GO;Ação civil pública nº 0194023.39.2015.8.09.0051 - TJ
CÉLIO SILVEIRA;PSDB;GO;Inquérito nº 4256/2016 - STF
CÉLIO SILVEIRA;PSDB;GO;Inquérito nº 4291/2016 - STF
CÉLIO SILVEIRA;PSDB;GO;Ação civil pública nº 81479-11.2015.8.09.0051 - TJ
CÉLIO SILVEIRA;PSDB;GO;Ação civil pública nº 71831-59.2012.8.09.0100 - TJ
DANIEL VILELA;PMDB;GO;Inquérito nº 4.441/2017 - STF
JOVAIR ARANTES;PTB;GO;Ação civil pública nº 0017516-58.2011.4.01.3500 - TRF
JOVAIR ARANTES;PTB;GO;Ação civil pública nº 0389820.84.2014.8.09.0051 - TJ
JOVAIR ARANTES;PTB;GO;Ação rescisória nº 66471.2013.600.0000 - TSE
MAGDA MOFATTO;PR;GO;Processos nº 3533329.2008.600.0000 - TSE
MAGDA MOFATTO;PR;GO;Processos nº 201002174001 - TJ
MAGDA MOFATTO;PR;GO;Processos nº 002173546.2013.4.01.3500 - TRF
MARCOS ABRÃO;PPS;GO;Ação civil pública nº 106104-84.2014.8.09.0006 - TJ
ROBERTO BALESTRA;PP;GO;Inquérito nº 3989/2015 - STF
ROBERTO BALESTRA;PP;GO;Inquérito nº 3821/2014 - STF
RUBENS OTONI;PT;GO;Inquérito nº 3726/2013 - STF
ALUISIO MENDES;PSDC;MA;Ação civil pública nº 60531-11.2014.8.10.0001 - TJ
HILDO ROCHA;PMDB;MA;Ação civil pública nº 870-29.2012.8.10.0080 - TJ
JOÃO CASTELO;PSDB;MA;Ação penal nº 939/2015 - STF
JOÃO CASTELO;PSDB;MA;Ação civil pública nº 0022662-96.2010.4.01.3700 - TRF
JOÃO CASTELO;PSDB;MA;Apelação nº 0022662-96.2010.4.01.3700
JOÃO CASTELO;PSDB;MA;Ação civil pública nº 1599143.2012.8.10.0001 - TJ
JUNIOR MARRECA;PEN;MA;Ação civil pública nº 1712-71.2013.8.10.0048 - TJ
JUNIOR MARRECA;PEN;MA;Ação civil pública nº 003609735.2013.4.01.3700 - TRF
JUNIOR MARRECA;PEN;MA;Ação civil pública nº 006164006.2014.4.01.3700 - TRF
JUNIOR MARRECA;PEN;MA;Ação civil pública nº 0106847-91.2015.4.01.3700 - TRF
JUNIOR MARRECA;PEN;MA;Ação civil pública nº 011022385.2015.4.01.3700 - TRF
JUNIOR MARRECA;PEN;MA;Ação civil pública nº 009955385.2015.4.01.3700 - TRF
JUNIOR MARRECA;PEN;MA;Ação civil pública nº 009955470.2015.4.01.3700 - TRF
JUNIOR MARRECA;PEN;MA;Ação civil pública nº 010684609.2015.4.01.3700 - TRF
JUNIOR MARRECA;PEN;MA;Ação civil pública nº 010684876.2015.4.01.3700 - TRF
JUNIOR MARRECA;PEN;MA;Ação civil pública nº 010684961.2015.4.01.3700 - TRF
JUNIOR MARRECA;PEN;MA;Ação civil pública nº 000589910.2016.4.01.3700 - TRF
JUNIOR MARRECA;PEN;MA;Ação civil pública nº 002545243.2016.4.01.3700 - TRF
PEDRO FERNANDES;PTB;MA;Inquérito nº 3728/2013 - STF
WALDIR MARANHÃO;PP;MA;Inquérito nº 3989/2015 - STF
WALDIR MARANHÃO;PP;MA;Ação civil pública nº 5992-61.2015.8.10.0001 - TJ
WEVERTON ROCHA;PDT;MA;Inquérito nº 3621/2013 - STF
WEVERTON ROCHA;PDT;MA;Inquérito nº 3394/2012 - STF
WEVERTON ROCHA;PDT;MA;Ação civil pública nº 0027594-86.2012.4.01.3400 - TRF
WEVERTON ROCHA;PDT;MA;Ação civil pública nº 37418-04.2009.8.10.0001 - TJ
ADILTON SACHETTI;PSB;MT;Ação penal nº 947/2015 - STF
ADILTON SACHETTI;PSB;MT;Inquérito nº 4165/2015 - STF
ADILTON SACHETTI;PSB;MT;Ação penal nº 4929-47.2013.811.0064 - TJ
CARLOS BEZERRA;PMDB;MT;Ação penal nº 520/2009 - STF
CARLOS BEZERRA;PMDB;MT;Ação civil pública nº 0010644-46.2005.4.01.3400 - TRF
CARLOS BEZERRA;PMDB;MT;Ação civil pública nº 0037288-60.2004.4.01.3400 - TRF
CARLOS BEZERRA;PMDB;MT;Ação civil pública nº 0013577-03.2007.4.01.3600 - TRF
CARLOS BEZERRA;PMDB;MT;Ação civil pública nº 60-09.2010.811.0044 - TJ
CARLOS BEZERRA;PMDB;MT;Agravo nº - TSE
